Postal,Name,medIncome
FL,Sarasota County,46047
FL,Seminole County,57381
FL,Sumter County,45165
FL,Suwannee County,39259
FL,Taylor County,35343
FL,Union County,40523
FL,Volusia County,41368
FL,Wakulla County,47566
FL,Walton County,44622
FL,Washington County,35378
GA,Georgia,46252
GA,Appling County,36601
GA,Atkinson County,28579
GA,Bacon County,31692
GA,Baker County,33950
GA,Baldwin County,36091
GA,Banks County,42196
GA,Barrow County,52391
GA,Bartow County,43825
GA,Ben Hill County,29910
GA,Berrien County,32859
GA,Bibb County,36220
GA,Bleckley County,38513
GA,Brantley County,35732
GA,Brooks County,32067
GA,Bryan County,65478
GA,Bulloch County,31943
GA,Burke County,30688
GA,Butts County,43777
GA,Calhoun County,28618
GA,Camden County,48967
GA,Candler County,30496
GA,Carroll County,45242
GA,Catoosa County,47337
GA,Charlton County,32316
GA,Chatham County,42728
GA,Chattahoochee County,46292
GA,Chattooga County,33990
GA,Cherokee County,63520
GA,Clarke County,34000
GA,Clay County,27080
GA,Clayton County,36595
GA,Clinch County,30428
GA,Cobb County,59471
GA,Coffee County,33527
GA,Colquitt County,32010
GA,Columbia County,64435
GA,Cook County,32244
GA,Coweta County,56407
GA,Crawford County,41593
GA,Crisp County,35232
GA,Dade County,40161
GA,Dawson County,51127
GA,Decatur County,33288
GA,DeKalb County,47068
GA,Dodge County,33731
GA,Dooly County,32216
GA,Dougherty County,31200
GA,Douglas County,52887
GA,Early County,30572
GA,Echols County,32674
GA,Effingham County,60017
GA,Elbert County,32888
GA,Emanuel County,30985
GA,Evans County,32427
GA,Fannin County,33253
GA,Fayette County,79276
GA,Floyd County,38289
GA,Forsyth County,81629
GA,Franklin County,36109
GA,Fulton County,53580
GA,Gilmer County,39710
GA,Glascock County,36433
GA,Glynn County,42993
GA,Gordon County,40656
GA,Grady County,31297
GA,Greene County,36001
GA,Gwinnett County,57848
GA,Habersham County,40316
GA,Hall County,47238
GA,Hancock County,23887
GA,Haralson County,39046
GA,Harris County,62264
GA,Hart County,33753
GA,Heard County,39614
GA,Henry County,59371
GA,Houston County,54977
GA,Irwin County,32859
GA,Jackson County,50409
GA,Jasper County,43443
GA,Jeff Davis County,32380
GA,Jefferson County,29683
GA,Jenkins County,27682
GA,Johnson County,28332
GA,Jones County,52215
GA,Lamar County,40001
GA,Lanier County,33430
GA,Laurens County,36568
GA,Lee County,61489
GA,Liberty County,39697
GA,Lincoln County,35201
GA,Long County,38243
GA,Lowndes County,36486
GA,Lumpkin County,44309
GA,McDuffie County,36559
GA,McIntosh County,35681
GA,Macon County,27324
GA,Madison County,41267
GA,Marion County,33534
GA,Meriwether County,35287
GA,Miller County,32015
GA,Mitchell County,31094
GA,Monroe County,49839
GA,Montgomery County,35133
GA,Morgan County,45804
GA,Murray County,39911
GA,Muscogee County,36359
GA,Newton County,48989
GA,Oconee County,76298
GA,Oglethorpe County,40936
GA,Paulding County,61496
GA,Peach County,38024
GA,Pickens County,48532
GA,Pierce County,37262
GA,Pike County,52411
GA,Polk County,36468
GA,Pulaski County,36665
GA,Putnam County,40037
GA,Quitman County,28102
GA,Rabun County,37990
GA,Randolph County,26863
GA,Richmond County,37866
GA,Rockdale County,53899
GA,Schley County,37761
GA,Screven County,30925
GA,Seminole County,30604
GA,Spalding County,38451
GA,Stephens County,34445
GA,Stewart County,26659
GA,Sumter County,31871
GA,Talbot County,29933
GA,Taliaferro County,26863
GA,Tattnall County,35039
GA,Taylor County,30748
GA,Telfair County,28414
GA,Terrell County,31143
GA,Thomas County,35539
GA,Tift County,34702
GA,Toombs County,32002
GA,Towns County,38207
GA,Treutlen County,30809
GA,Troup County,39422
GA,Turner County,26845
GA,Twiggs County,35232
GA,Union County,37540
GA,Upson County,33461
GA,Walker County,36854
GA,Walton County,51913
GA,Ware County,33176
GA,Warren County,29764
GA,Washington County,33199
GA,Wayne County,36562
GA,Webster County,31216
GA,Wheeler County,29834
GA,White County,40120
GA,Whitfield County,40117
GA,Wilcox County,31442
GA,Wilkes County,30451
GA,Wilkinson County,35530
GA,Worth County,37436
HI,Hawaii,62774
HI,Hawaii County,46444
HI,Honolulu County,67519
HI,Kalawao County,.
HI,Kauai County,52714
HI,Maui County,56206
ID,Idaho,43259
ID,Ada County,50909
ID,Adams County,34730
ID,Bannock County,40946
ID,Bear Lake County,39469
ID,Benewah County,36906
ID,Bingham County,43571
ID,Blaine County,59191
ID,Boise County,46871
ID,Bonner County,40119
ID,Bonneville County,49979
ID,Boundary County,37037
ID,Butte County,41368
ID,Camas County,46483
ID,Canyon County,42419
ID,Caribou County,49208
ID,Cassia County,40739
ID,Clark County,41387
ID,Clearwater County,38124
ID,Custer County,42575
ID,Elmore County,40475
ID,Franklin County,43936
ID,Fremont County,38407
ID,Gem County,40110
ID,Gooding County,37751
ID,Idaho County,35715
ID,Jefferson County,50123
ID,Jerome County,40229
ID,Kootenai County,43826
ID,Latah County,40942
ID,Lemhi County,34757
ID,Lewis County,37742
ID,Lincoln County,39517
ID,Madison County,36202
ID,Minidoka County,39802
ID,Nez Perce County,43580
ID,Oneida County,44425
ID,Owyhee County,36670
ID,Payette County,39724
ID,Power County,39555
ID,Shoshone County,36129
ID,Teton County,52272
ID,Twin Falls County,42007
ID,Valley County,45248
ID,Washington County,35774
IL,Illinois,52967
IL,Adams County,41734
IL,Alexander County,29278
IL,Bond County,46364
IL,Boone County,57323
IL,Brown County,43640
IL,Bureau County,45580
IL,Calhoun County,45772
IL,Carroll County,47032
IL,Cass County,43183
IL,Champaign County,45803
IL,Christian County,44253
IL,Clark County,44312
IL,Clay County,38091
IL,Clinton County,52650
IL,Coles County,38242
IL,Cook County,51457
IL,Crawford County,41612
IL,Cumberland County,43448
IL,DeKalb County,52106
IL,De Witt County,48662
IL,Douglas County,48469
IL,DuPage County,72470
IL,Edgar County,39386
IL,Edwards County,43044
IL,Effingham County,49001
IL,Fayette County,38966
IL,Ford County,48622
IL,Franklin County,32853
IL,Fulton County,40749
IL,Gallatin County,37287
IL,Greene County,40399
IL,Grundy County,60130
IL,Hamilton County,40670
IL,Hancock County,41520
IL,Hardin County,34228
IL,Henderson County,43212
IL,Henry County,49262
IL,Iroquois County,43873
IL,Jackson County,32739
IL,Jasper County,46000
IL,Jefferson County,40527
IL,Jersey County,54278
IL,Jo Daviess County,45972
IL,Johnson County,41743
IL,Kane County,65430
IL,Kankakee County,45707
IL,Kendall County,79542
IL,Knox County,39409
IL,Lake County,74594
IL,La Salle County,49414
IL,Lawrence County,37428
IL,Lee County,48749
IL,Livingston County,51427
IL,Logan County,48311
IL,McDonough County,37890
IL,McHenry County,69290
IL,McLean County,59719
IL,Macon County,42206
IL,Macoupin County,45995
IL,Madison County,51706
IL,Marion County,38182
IL,Marshall County,48647
IL,Mason County,42529
IL,Massac County,39636
IL,Menard County,58075
IL,Mercer County,46871
IL,Monroe County,69731
IL,Montgomery County,42468
IL,Morgan County,43753
IL,Moultrie County,47459
IL,Ogle County,53402
IL,Peoria County,50166
IL,Perry County,38916
IL,Piatt County,54350
IL,Pike County,37172
IL,Pope County,37926
IL,Pulaski County,33262
IL,Putnam County,52564
IL,Randolph County,46410
IL,Richland County,40893
IL,Rock Island County,45114
IL,St. Clair County,47027
IL,Saline County,37170
IL,Sangamon County,51057
IL,Schuyler County,45481
IL,Scott County,48890
IL,Shelby County,45474
IL,Stark County,49280
IL,Stephenson County,42869
IL,Tazewell County,50737
IL,Union County,39764
IL,Vermilion County,38534
IL,Wabash County,42129
IL,Warren County,43881
IL,Washington County,51209
IL,Wayne County,40630
IL,White County,39964
IL,Whiteside County,45606
IL,Will County,71344
IL,Williamson County,43004
IL,Winnebago County,44336
IL,Woodford County,65931
IN,Indiana,44616
IN,Adams County,43121
IN,Allen County,47014
IN,Bartholomew County,49045
IN,Benton County,47520
IN,Blackford County,38637
